베트남,기업,유통채널,쇼피 베트남,기업,온라인쇼핑몰,홈페이지:www.shopee.vn,규모:매출91조동(약4조9231억 원)
베트남,기업,유통채널,티키,기업,온라인쇼핑몰,홈페이지:www.tiki.vn,규모:매출10억달러(약1조3765억 원)
베트남,기업,유통채널,케이마켓,기업,한인마트,홈페이지:kmarketvina.com,규모:140개 매장
베트남,기업,유통채널,지에스25 베트남,기업,편의점,홈페이지:www.gs25.com.vn,규모:245개 매장
베트남,기업,유통채널,오케이마트,기업,한인마트,홈페이지:okmart.vn,규모:7개 매장
베트남,기업,유통채널,호치민,다낭 등,기업,지역별 매장,규모:7개
베트남,기업,유통채널,GS25 베트남,기업,편의점,홈페이지:www.gs25.com.vn,규모:245개 매장
베트남,기업,유통채널,케이마켓,기업,한인마트,홈페이지:kmarketvina.com,규모:140개 매장
베트남,기업,유통채널,오케이마트,기업,한인마트,홈페이지:okmart.vn,규모:7개 매장
베트남,기업,유통채널,윈마트 플러스,기업,편의점,홈페이지:winmart.vn,규모:3268개 매장
베트남,기업,유통채널,지에스25 베트남,기업,편의점,홈페이지:www.gs25.com.vn,규모:245개 매장
