엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
튀르키예,국가,수출국,한국,국가,국가:튀르키예;시기:2024년
튀르키예,국가,수입액,미국,국가,수입액:1784065;비중:6.9;연평균성장률:-15.7
튀르키예,국가,수입액,말레이시아,국가,수입액:995197;비중:3.8;연평균성장률:-11.0
튀르키예,국가,수입액,독일,국가,수입액:699715;비중:2.7;연평균성장률:32.8
튀르키예,국가,수입액,아르헨티나,국가,수입액:694150;비중:2.7;연평균성장률:-19.0
튀르키예,국가,수입액,네덜란드,국가,수입액:569779;비중:2.2;연평균성장률:13.6
튀르키예,국가,수입액,프랑스,국가,수입액:520840;비중:2.0;연평균성장률:23.7
튀르키예,국가,수입액,캐나다,국가,수입액:473993;비중:1.8;연평균성장률:22.4
튀르키예,국가,수입액,한국,국가,수입액:20304;비중:0.1;연평균성장률:40.3
튀르키예,국가,수출액,한국,국가,수출액:109514;비중:0.4;연평균성장률:11.7
튀르키예,국가,수출액,이라크,국가,수출액:4466923;비중:14.8;연평균성장률:9.8
튀르키예,국가,수출액,독일,국가,수출액:1976675;비중:6.5;연평균성장률:8.2
튀르키예,국가,수출액,미국,국가,수출액:1820865;비중:6.0;연평균성장률:18.3
튀르키예,국가,수출액,러시아,국가,수출액:1620601;비중:5.4;연평균성장률:13.2
