엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
고객사 제품,품목,제조사,전복죽,품목,원산지:한국;가격:4270;중량:320;포장:플라스틱파우치
아마존,기업,판매채널,아마존,기업,국가:미국
월마트,기업,판매채널,월마트,기업,국가:미국
에이치마트,기업,판매채널,에이치마트,기업,국가:미국
아마존,기업,판매채널,아마존,기업,국가:미국
월마트,기업,판매채널,월마트,기업,국가:미국
에이치마트,기업,판매채널,에이치마트,기업,국가:미국
A사,기업,경쟁기업,한국,국가,업력:71;품목수:17
B사,기업,경쟁기업,한국,국가,업력:55;품목수:21
C사,기업,경쟁기업,한국,국가,업력:10;품목수:8
A사,기업,진출채널,시온마켓,매장,포장현지화:미진행
A사,기업,진출채널,한남체인,매장,포장현지화:미진행
A사,기업,진출채널,에이치마트,매장,포장현지화:미진행
B사,기업,진출채널,시온마켓,매장,포장현지화:미진행
B사,기업,진출채널,에이치마트,매장,포장현지화:미진행
C사,기업,진출채널,한남체인,매장,포장현지화:중
C사,기업,진출채널,에이치마트,매장,포장현지화:중
전복죽,품목,원산지,한국,국가,원산지:한국
전복죽,품목,가격,약 4.27달러,가격,단위당가격:1.33달러/100g
전복죽,품목,중량,320g,중량
전복죽,품목,포장,종이상자,포장
전복죽,품목,홍보문구,부드러운 전복;100% 한국 쌀;깊고 고소한 국물,맛
전복죽,품목,홍보문구,건강,홍보
전복죽,품목,홍보문구,한국산,홍보
전복죽,품목,원산지,한국,국가
전복죽,품목,재료,전복,원료
전복죽,품목,재료,쌀,원료
전복죽,품목,재료,양파,원료
전복죽,품목,재료,찹쌀가루,원료
전복죽,품목,재료,참기름,원료
전복죽,품목,재료,다시마추출물,원료
전복죽,품목,재료,소금,원료
전복죽,품목,재료,덱스트린,원료
전복죽,품목,재료,발효유산균,원료
전복죽,품목,재료,폴리리신,원료
전복죽,품목,재료,숙시네이트,원료
전복죽,품목,재료,가다랑어추출물,원료
전복죽,품목,재료,인공향료,원료
전복죽,품목,재료,효모추출물,원료
전복죽,품목,재료,다시마분말,원료
전복버섯죽,품목,원산지,한국,국가
전복버섯죽,품목,재료,전복,원료
전복버섯죽,품목,재료,쌀,원료
전복버섯죽,품목,재료,표고버섯,원료
전복버섯죽,품목,재료,양파,원료
전복버섯죽,품목,재료,찹쌀가루,원료
전복버섯죽,품목,재료,참기름,원료
전복버섯죽,품목,재료,다시마추출물,원료
전복버섯죽,품목,재료,소금,원료
전복버섯죽,품목,재료,덱스트린,원료
전복버섯죽,품목,재료,발효유산균,원료
전복버섯죽,품목,재료,폴리리신,원료
전복버섯죽,품목,재료,숙시네이트,원료
전복버섯죽,품목,재료,가다랑어추출물,원료
전복버섯죽,품목,재료,인공향료,원료
전복버섯죽,품목,재료,효모추출물,원료
전복버섯죽,품목,재료,다시마분말,원료
낙지김치죽,품목,원산지,한국,국가
낙지김치죽,품목,재료,낙지,원료
낙지김치죽,품목,재료,김치,원료
낙지김치죽,품목,재료,찹쌀가루,원료
낙지김치죽,품목,재료,흑설탕,원료
낙지김치죽,품목,재료,소금,원료
낙지김치죽,품목,재료,산도조절제,원료
낙지김치죽,품목,재료,이소말토올리고당,원료
낙지김치죽,품목,재료,사과식초,원료
낙지김치죽,품목,재료,조개추출물,원료
낙지김치죽,품목,재료,덱스트린,원료
낙지김치죽,품목,재료,효모추출물,원료
낙지김치죽,품목,재료,잔탄검,원료
낙지김치죽,품목,재료,대두유,원료
낙지김치죽,품목,재료,설탕,원료
낙지김치죽,품목,재료,글리신,원료
낙지김치죽,품목,재료,고추씨유,원료
낙지김치죽,품목,재료,참깨유,원료
낙지김치죽,품목,재료,S-리보뉴클레오티드,원료
낙지김치죽,품목,재료,오징어추출물,원료
낙지김치죽,품목,재료,DL-알라닌,원료
낙지김치죽,품목,재료,페이스트,원료
낙지김치죽,품목,재료,구아검,원료
낙지김치죽,품목,재료,고춧가루,원료
낙지김치죽,품목,재료,단팥,원료
낙지김치죽,품목,재료,글루코스,원료
낙지김치죽,품목,재료,추출물,원료
낙지김치죽,품목,재료,메티오닌,원료
낙지김치죽,품목,재료,프로테아제,원료
낙지김치죽,품목,재료,타우린,원료
낙지김치죽,품목,재료,숙시네이트,원료
전복버섯죽,품목,원산지,한국,국가
전복버섯죽,품목,재료,전복,원료
전복버섯죽,품목,재료,쌀,원료
전복버섯죽,품목,재료,표고버섯,원료
전복버섯죽,품목,재료,양파,원료
전복버섯죽,품목,재료,찹쌀가루,원료
전복버섯죽,품목,재료,참기름,원료
전복버섯죽,품목,재료,다시마추출물,원료
전복버섯죽,품목,재료,소금,원료
전복버섯죽,품목,재료,덱스트린,원료
전복버섯죽,품목,재료,발효유산균,원료
전복버섯죽,품목,재료,폴리리신,원료
전복버섯죽,품목,재료,숙시네이트,원료
전복버섯죽,품목,재료,가다랑어추출물,원료
전복버섯죽,품목,재료,인공향료,원료
전복버섯죽,품목,재료,효모추출물,원료
