엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
Pharmacity,기업,운영하는,베트남 약국 체인,국내기업,설립연도:2012;모회사:Maroon;2021년 한국투자:14.5%
Long Chau,기업,운영하는,베트남 약국 체인,국내기업,설립연도:2007;2017년 FPT Retail 인수
An Khang,기업,운영하는,베트남 약국 체인,국내기업,설립연도:2017
BioAmicus,기업,운영하는,캐나다,제품,Probiotics BioAmicus Complete,가격:20.22USD(26286원)
Bayer,기업,운영하는,프랑스,제품,Elevit vitamin supplement for pregnant women,가격:15.42USD(20046원)
Pharmekal,기업,운영하는,USA,제품,Omega-3 Fish Oil 1000mg,가격:58.34USD(10842원)
BioGaia,기업,운영하는,스웨덴,제품,Probiotics Biogaia Protectis Baby Drops,가격:17.48USD(22724원)
J-CVI Pharma,기업,운영하는,베트남,제품,MK7 Calcium Syrup,가격:4.96USD(6448원)
Vitabiotics,기업,운영하는,영국,제품,Feroglobin B12,가격:13.77USD(17901원)
Yuhan Corporation,기업,운영하는,한국,제품,Yumangel F,가격:5.37USD(6981원)
Syrup,제품,유형,의약품,제품,Synatura for acute upper respiratory infections,가격:0.42USD(546원)
Probiotics,제품,유형,유산균,제품,Z:LAC Probiotics Formula Standard,가격:8.01USD(10413원)
Herokid,제품,유형,유아용 식욕촉진제,제품,한국산,가격:450000VND(25000원)
초유밀 Plus1,제품,유형,초유 단백질 분말,제품,한국산,가격:278000VND(15000원)
Colostrum,제품,유형,초유 단백질 분말,제품,뉴질랜드산,가격:685000VND(38000원)
Colostrum Milk Powder,제품,유형,초유 단백질 분말,제품,호주산,가격:665000VND(37000원)
Herokid,제품,유형,유아용 식욕촉진제,제품,한국산,가격:450000VND(25000원)
한국산 홍삼 주스,제품,유형,홍삼 제품,제품,베트남 인기,가격:32000원
Yuyu 홍삼 젤리,제품,유형,홍삼 제품,제품,베트남 인기,가격:1350000원
초유밀 Plus 1,제품,유형,초유 단백질 분말,제품,한국산,가격:278000VND(15000원)
Colostrum,제품,유형,초유 단백질 분말,제품,뉴질랜드산,가격:685000VND(38000원)
Colostrum Milk Powder,제품,유형,초유 단백질 분말,제품,호주산,가격:665000VND(37000원)
Herokid,제품,유형,유아용 식욕촉진제,제품,한국산,가격:450000VND(25000원)
베트남 영유아용품점,유통채널,운영하는,ConCung,영유아용품점,점포수:700개,매출:3800억동
Bibo Mart,유통채널,운영하는,베트남 영유아용품점,영유아용품점,점포수:약160개
Kids Plaza,유통채널,운영하는,베트남 영유아용품점,영유아용품점,점포수:약160개
ConCung,유통채널,운영하는,베트남 영유아용품점,영유아용품점,점포수:700개
베트남 온라인 유통채널,유통채널,포함,쇼피,이커머스 플랫폼,대표 플랫폼,시장점유율:약 80%
Lazada,이커머스 플랫폼,대표 플랫폼,시장점유율:약 10%
Tiki,이커머스 플랫폼,대표 플랫폼,시장점유율:약 5%
Sendo,이커머스 플랫폼,대표 플랫폼,시장점유율:약 5%
페이스북숍,온라인 신유통채널,운영하는,페이스북,소셜미디어,판매방식:게시글,DM;판매금지품목:식품보조제,건강기능식품,의약품,유아식품
틱톡숍,온라인 신유통채널,운영하는,틱톡,쇼핑 플랫폼,매출:16,980억동(2022년 11월),판매건수:약 1,300만개
베트남 병원,오프라인 채널,운영하는,베트남 병원,의료기관,최대규모:Hue 중앙 병원(병상:3953),주요병원:Cho Ray, Bach Mai
베트남 약국,오프라인 채널,운영하는,베트남 약국,의료기관,시장규모:약 5만개,주요약국:Pharmacity, Long Chau, An Khang
베트남 의약품,시장,운영하는,베트남 의약품 시장,시장규모:77억달러(2021),성장률:연평균 8% 예상
베트남 병원,시장,운영하는,베트남 병원,의료기관,수,약 1531개,대도시 집중
베트남 의약품 수입,시장,운영하는,베트남 의약품 수입시장,수입비중:유럽 51.7%,미국 12.9%
베트남 시장,시장,운영하는,베트남 시장,시장규모:10억7200만달러(2022),성장률:약 9.5%
베트남 온라인 의약품시장,시장,운영하는,베트남 온라인 의약품시장,성장예상:향후 4년 2배 이상
베트남 약국,시장,운영하는,베트남 약국,시장규모:약 77억달러(2021)
베트남 약국,시장,운영하는,베트남 약국,시장규모:약 77억달러(2021)
