엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
베트남,국가,시장규모,전체 주류 시장,시장,2019년~2023년 시장규모:10231억달러;2024년 시장동향:팬데믹 이후 반등 후 둔화;2023년 시장규모:10495억달러;연평균 성장률:0.6%
베트남,국가,시장규모,수입산 주류 시장,시장,2019년~2023년 수입시장규모:117095만달러;2024년 성장률:-0.6%
베트남,국가,시장규모,베트남산 주류 시장,시장,2019년~2023년 시장규모:10114억달러;2024년 성장률:0.7%
베트남,국가,시장점유율,베트남산 주류,시장점유율,2023년:98.9%
베트남,국가,시장점유율,수입산 주류,시장점유율,2023년:1.1%
베트남,국가,주요 수입국,수입산 주류,국가,미국:30.1%;한국:14.2%;영국:11.7%;프랑스:9.2%;이탈리아:8.3%;중국:7.3%;칠레:2.9%;호주:2.7%;일본:2.6%;남아공:2.6%
베트남,국가,주요 수입국,한국,국가,수입규모:1626만달러;전년대비:34.8%감소
한국,기업,공장설립,하이트진로 베트남,기업,2024년 12월 착공 예정;투자금액:1억달러;생산장비설치:2026년 11월~2027년 1월;정식운영:2027년 2월
베트남,기업,공장설립,무학그룹,기업,2026년까지 공장 구축 예정;투자금액:1억달러
한국,기업,수입품,소주,품목,진로 참이슬,브랜드,한국산 소주;용량:360ml;가격:60000동(약3200원)
호주,기업,수입,와인,제품명:Rolling Cabernet Merlot,용량:750ml,가격:464000동
중국,기업,수입,칵테일,제품명:Rio Cocktail,용량:330ml,가격:65000동
베트남,기업,생산,Heineken Vietnam,기업,제품명:Strongbow 사과주,용량:330ml,가격:18000~23000동
베트남,기업,생산,Heineken Vietnam,기업,제품명:Strongbow Sparkling Ciders,용량:320ml,가격:17900동
한국,기업,생산,Bohae Brewery Co. Ltd.,기업,제품명:Korice Soju,용량:360ml,가격:62000동
한국,기업,생산,Ha Noi Liquor JSC,기업,제품명:Vodka Hanoi,용량:500ml,가격:91000동
일본,기업,생산,Choya Umeshu Co. Ltd.,기업,제품명:CHOYA 초야 매실주,용량:325ml,가격:420000동
베트남,기업,생산,Daesun,기업,제품명:대선 샤인머스켓,용량:360ml,가격:65000동
베트남,기업,생산,Sabeco,기업,제품명:333 맥주,용량:330ml,가격:12800동
베트남,기업,생산,Heineken Vietnam,기업,제품명:Tiger 맥주,용량:330ml,가격:17000~22000동
베트남,기업,생산,Habeco,기업,제품명:Bia Ha Noi,용량:330ml,가격:12500~14000동
베트남,기업,생산,Carlsberg Vietnam,기업,제품명:Carlsberg 맥주,용량:330ml,가격:18000~21000동
베트남,기업,생산,Heineken Vietnam,기업,제품명:Heineken 맥주,용량:330ml/250ml,가격:17000~22000동
베트남,기업,생산,Heineken Vietnam,기업,제품명:Tiger 맥주,용량:330ml,가격:17000~22000동
베트남,기업,생산,Sabeco,기업,제품명:333' export,용량:330ml,가격:10830동
베트남,기업,생산,Sabeco,기업,제품명:Saigon Export,용량:330ml,가격:12000~19000동
베트남,기업,생산,Habeco,기업,제품명:Bia Ha Noi,용량:330ml,가격:12500~14000동
베트남,기업,생산,Heineken Vietnam,기업,제품명:Strongbow 사과주,용량:330ml,가격:18000~23000동
베트남,기업,생산,Heineken Vietnam,기업,제품명:Strongbow Sparkling Ciders,용량:320ml,가격:17900동
한국,기업,수입,소주,브랜드,진로 참이슬,용량:360ml,가격:64800동
한국,기업,수입,소주,브랜드,좋은데이 청춘,용량:360ml,가격:69000동
한국,기업,수입,소주,브랜드,진로 참이슬,용량:360ml,가격:78000동
일본,기업,수입,사케,제품명:대선 샤인머스켓,용량:300ml,가격:239000동
러시아,기업,수입,보드카,제품명:Alligator Platinum Russian Vodka,용량:500ml,가격:191900동
호주,기업,수입,와인,제품명:Rolling Cabernet Merlot,용량:750ml,가격:464000동
중국,기업,수입,칵테일,제품명:Rio Cocktail,용량:330ml,가격:65000동
