엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
중화인민공화국,국가,법률정의,독점기술,기술,법률정의:특정 제품의 생산에 필요한 전문지식과 경험;기술의 총합
중화인민공화국,국가,법률정의,수출입 화물 가격 심사 방법,법률,제51조에 독점기술에 관한 법률 정의
중국,국가,산업분류,중화인민공화국국가표준(GB/T 4754-2017),표준,산업분류: 국민경제산업분류
중국,국가,산업분류,중국 국민경제산업분류,분류,산업분류: 국민경제산업분류
중국,국가,산업분류,중화인민공화국국가표준(GB/T 4754-2017),표준,표준명:중화인민공화국국가표준(GB/T 4754-2017)
중국,국가,산업분류,중화인민공화국국가표준(GB/T 4754-2017),표준,분류목록: 서비스,패스트푸드,차전문점 등
중국,국가,행정구역,지방 지급시,행정단위,지방 지급시:성(省)정부 직속 2급 행정단위
중국,국가,브랜드,위니짜이이치,브랜드,매장수 2304개, 단가 33위안
중국,국가,브랜드,샹둬웨이,브랜드,매장수 2243개, 단가 25위안
중국,국가,브랜드,파이러햄버거,브랜드,매장수 1988개, 단가 20위안
중국,국가,브랜드,멍쯔위안,브랜드,매장수 1723개, 단가 26.7위안
중국,국가,브랜드,버거킹,브랜드,매장수 1589개, 단가 34.38위안
중국,국가,브랜드,루이훈툰,브랜드,매장수 1549개, 단가 15~25위안
중국,국가,브랜드,샤오구제제,브랜드,매장수 1230개, 단가 25위안
중국,국가,브랜드,라오샹지,브랜드,매장수 1217개, 단가 25~35위안
중국,국가,브랜드,청싼셴미셴,브랜드,매장수 1023개, 단가 26위안
중국,국가,브랜드,이밍밀크바,브랜드,매장수 2273개, 단가 25위안
중국,국가,브랜드,DQ,브랜드,매장수 1145개, 단가 35위안
중국,국가,브랜드,MUBARF,브랜드,매장수 1020개, 단가 90위안
중국,국가,브랜드,줴웨이야보,브랜드,매장수 15950개, 단가 30~45위안
중국,국가,브랜드,紫燕百味鸡,브랜드,매장수 6331개, 단가 36위안
중국,국가,브랜드,헤이써징뎬,브랜드,매장수 2314개, 단가 20위안
중국,국가,브랜드,喜姐炸串,브랜드,매장수 2064개, 단가 25위안
중국,국가,브랜드,夸父炸串,브랜드,매장수 2000개, 단가 35위안
중국,국가,브랜드,姚鸡王,브랜드,매장수 1632개, 단가 68위안
중국,국가,브랜드,冒大仙,브랜드,매장수 1524개, 단가 20위안
중국,국가,브랜드,熊家无二韩式炸鸡,브랜드,매장수 1108개, 단가 21위안
중국,국가,브랜드,蜜雪冰城,브랜드,매장수 32291개, 단가 6위안
중국,국가,브랜드,瑞幸咖啡,브랜드,매장수 16248개, 단가 18위안
중국,국가,브랜드,古茗,브랜드,매장수 9010개, 단가 16.25위안
중국,국가,브랜드,慕巴夫,브랜드,매장수 1020개, 단가 90위안
중국,국가,브랜드,紫燕百味鸡,브랜드,매장수 6331개, 단가 36위안
중국,국가,브랜드,헤이써징뎬,브랜드,매장수 2314개, 단가 20위안
중국,국가,브랜드,喜姐炸串,브랜드,매장수 2064개, 단가 25위안
중국,국가,브랜드,夸父炸串,브랜드,매장수 2000개, 단가 35위안
중국,국가,브랜드,姚鸡王,브랜드,매장수 1632개, 단가 68위안
중국,국가,브랜드,冒大仙,브랜드,매장수 1524개, 단가 20위안
중국,국가,브랜드,熊家无二韩式炸鸡,브랜드,매장수 1108개, 단가 21위안
중국,국가,브랜드,蜜雪冰城,브랜드,매장수 32291개, 단가 6위안
중국,국가,브랜드,瑞幸咖啡,브랜드,매장수 16248개, 단가 18위안
중국,국가,브랜드,古茗,브랜드,매장수 9010개, 단가 16.25위안
중국,국가,브랜드,慕巴夫,브랜드,매장수 1020개, 단가 90위안
중국,국가,브랜드,绝味鸭脖,브랜드,매장수 15846개, 단가 미기재
중국,국가,브랜드,紫燕百味鸡,브랜드,매장수 6176개, 단가 미기재
중국,국가,브랜드,黑色经典,브랜드,매장수 2314개, 단가 미기재
중국,국가,브랜드,喜姐炸串,브랜드,매장수 2000개, 단가 미기재
중국,국가,브랜드,夸父炸串,브랜드,매장수 1987개, 단가 미기재
중국,국가,브랜드,窑鸡王,브랜드,매장수 1632개, 단가 미기재
중국,국가,브랜드,冒大仙,브랜드,매장수 1500개, 단가 미기재
중국,국가,브랜드,熊家无二韩式炸鸡,브랜드,매장수 1100개, 단가 미기재
중국,국가,브랜드,蜜雪冰城,브랜드,매장수 32291개, 단가 6위안
중국,국가,브랜드,瑞幸咖啡,브랜드,매장수 16248개, 단가 18위안
중국,국가,브랜드,古茗,브랜드,매장수 9010개, 단가 16.25위안
중국,국가,브랜드,慕巴夫,브랜드,매장수 1020개, 단가 90위안
중국,국가,브랜드,绝味鸭脖,브랜드,매장수 15846개, 단가 미기재
중국,국가,브랜드,紫燕百味鸡,브랜드,매장수 6176개, 단가 미기재
중국,국가,브랜드,黑色经典,브랜드,매장수 2314개, 단가 미기재
중국,국가,브랜드,喜姐炸串,브랜드,매장수 2064개, 단가 미기재
중국,국가,브랜드,夸父炸串,브랜드,매장수 2000개, 단가 미기재
중국,국가,브랜드,窑鸡王,브랜드,매장수 1632개, 단가 미기재
중국,국가,브랜드,冒大仙,브랜드,매장수 1524개, 단가 미기재
중국,국가,브랜드,熊家无二韩式炸鸡,브랜드,매장수 1108개, 단가 미기재
중국,국가,브랜드,蜜雪冰城,브랜드,매장수 32291개, 단가 6위안
중국,국가,브랜드,瑞幸咖啡,브랜드,매장수 16248개, 단가 18위안
중국,국가,브랜드,古茗,브랜드,매장수 9010개, 단가 16.25위안
중국,국가,브랜드,慕巴夫,브랜드,매장수 1020개, 단가 90위안
중국,국가,브랜드,绝味鸭脖,브랜드,매장수 15846개, 단가 미기재
중국,국가,브랜드,紫燕百味鸡,브랜드,매장수 6331개, 단가 미기재
중국,국가,브랜드,헤이써징뎬,브랜드,매장수 2314개, 단가 20위안
중국,국가,브랜드,喜姐炸串,브랜드,매장수 2064개, 단가 25위안
중국,국가,브랜드,夸父炸串,브랜드,매장수 2000개, 단가 35위안
중국,국가,브랜드,姚鸡王,브랜드,매장수 1632개, 단가 68위안
중국,국가,브랜드,冒大仙,브랜드,매장수 1524개, 단가 20위안
중국,국가,브랜드,熊家无二韩式炸鸡,브랜드,매장수 1108개, 단가 21위안
